_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Kumar Sangakkara,"Arun Jaitley Stadium, Delhi",2nd_innings,2,61,8,0,33,0,0,0,58,2,0,105.17241379310344,30.5,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Arun Jaitley Stadium, Delhi",1st_innings,2,50,8,1,49,0,0,0,42,2,0,119.04761904761905,25.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Barabati Stadium, Cuttack",1st_innings,2,94,11,2,82,1,0,0,67,2,0,140.2985074626866,47.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Barabati Stadium, Cuttack",2nd_innings,1,0,0,0,0,0,0,0,3,1,0,0.0,0.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Diamond Oval, Kimberley",2nd_innings,1,25,1,1,25,0,0,0,18,1,0,138.88888888888889,25.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Dr DY Patil Sports Academy, Mumbai",2nd_innings,1,25,2,1,25,0,0,0,21,1,0,119.04761904761905,25.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Dr Y S Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1st_innings,1,14,1,0,14,0,0,0,19,1,0,73.68421052631578,14.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Eden Gardens, Kolkata",2nd_innings,3,56,4,2,38,0,0,0,40,3,0,140.0,18.666666666666668,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Eden Gardens, Kolkata",1st_innings,1,64,7,2,64,1,0,0,45,1,0,142.22222222222223,64.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1st_innings,2,85,14,1,52,1,0,0,61,2,0,139.34426229508196,42.5,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Kingsmead, Durban",1st_innings,2,71,4,1,45,0,0,0,68,1,1,104.41176470588236,71.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Kingsmead, Durban",2nd_innings,4,61,6,1,26,0,0,0,65,4,0,93.84615384615384,15.25,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"M Chinnaswamy Stadium, Bengaluru",1st_innings,2,33,3,1,23,0,0,0,27,1,1,122.22222222222223,33.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"MA Chidambaram Stadium, Chepauk, Chennai",2nd_innings,2,16,1,1,15,0,0,0,17,2,0,94.11764705882352,8.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"MA Chidambaram Stadium, Chepauk, Chennai",1st_innings,1,15,2,0,15,0,0,0,16,1,0,93.75,15.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Maharashtra Cricket Association Stadium, Pune",1st_innings,1,12,1,0,12,0,0,0,14,1,0,85.71428571428571,12.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Mangaung Oval, Bloemfontein",2nd_innings,1,43,6,0,43,0,0,0,47,0,1,91.48936170212765,43.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Nehru Stadium, Kochi",1st_innings,1,65,10,0,65,1,0,0,47,1,0,138.29787234042556,65.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Newlands, Cape Town",1st_innings,2,68,8,1,60,1,0,0,62,2,0,109.6774193548387,34.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1st_innings,5,185,27,2,94,1,0,0,117,5,0,158.1196581196581,37.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2nd_innings,6,223,28,5,56,3,0,0,142,6,0,157.04225352112675,37.166666666666664,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1st_innings,8,161,21,1,44,0,0,0,148,8,0,108.78378378378379,20.125,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2nd_innings,8,89,7,0,34,0,0,0,101,8,0,88.11881188118812,11.125,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Sawai Mansingh Stadium, Jaipur",1st_innings,4,77,10,2,44,0,0,0,51,4,0,150.98039215686273,19.25,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"St George's Park, Port Elizabeth",2nd_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"SuperSport Park, Centurion",1st_innings,1,8,0,0,8,0,0,0,19,1,0,42.10526315789473,8.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"The Wanderers Stadium, Johannesburg",1st_innings,1,56,4,1,56,1,0,0,43,1,0,130.2325581395349,56.0,KC Sangakkara,Kumar Sangakkara
Kumar Sangakkara,"Wankhede Stadium, Mumbai",1st_innings,2,30,1,1,27,0,0,0,32,2,0,93.75,15.0,KC Sangakkara,Kumar Sangakkara
Swapnil Asnodkar,"Brabourne Stadium, Mumbai",2nd_innings,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,SA Asnodkar,Swapnil Asnodkar
