_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Michael Hussey,Delhi Capitals,8,235,26,5,65,2,0,0,203,7,1,115.76354679802957,33.57142857142857,MEK Hussey,Michael Hussey
Michael Hussey,Kochi Tuskers Kerala,2,40,4,0,32,0,0,0,47,2,0,85.1063829787234,20.0,MEK Hussey,Michael Hussey
Michael Hussey,Kolkata Knight Riders,7,281,23,9,95,3,0,0,250,7,0,112.4,40.142857142857146,MEK Hussey,Michael Hussey
Michael Hussey,Mumbai Indians,10,258,31,5,86,1,0,0,225,8,2,114.66666666666667,32.25,MEK Hussey,Michael Hussey
Michael Hussey,Pune Warriors India,3,75,8,1,61,1,0,0,74,3,0,101.35135135135135,25.0,MEK Hussey,Michael Hussey
Michael Hussey,Punjab Kings,6,251,23,11,116,1,1,0,164,4,2,153.0487804878049,62.75,MEK Hussey,Michael Hussey
Michael Hussey,Rajasthan Royals,7,350,41,6,88,3,0,0,258,6,1,135.65891472868216,58.333333333333336,MEK Hussey,Michael Hussey
Michael Hussey,Royal Challengers Bangalore,9,281,23,8,83,3,0,0,231,8,1,121.64502164502164,35.125,MEK Hussey,Michael Hussey
Michael Hussey,Sunrisers Hyderabad,4,166,15,6,67,1,0,0,120,4,0,138.33333333333334,41.5,MEK Hussey,Michael Hussey
S Badrinath,Delhi Capitals,8,185,17,5,55,1,0,0,155,6,2,119.35483870967742,30.833333333333332,S Badrinath,S Badrinath
S Badrinath,Kochi Tuskers Kerala,2,32,1,1,19,0,0,0,27,2,0,118.5185185185185,16.0,S Badrinath,S Badrinath
S Badrinath,Kolkata Knight Riders,3,103,6,3,54,1,0,0,87,2,1,118.39080459770115,51.5,S Badrinath,S Badrinath
S Badrinath,Mumbai Indians,14,321,35,6,71,3,0,0,263,9,5,122.05323193916351,35.666666666666664,S Badrinath,S Badrinath
S Badrinath,Pune Warriors India,5,199,20,3,63,2,0,0,156,3,2,127.56410256410255,66.33333333333333,S Badrinath,S Badrinath
S Badrinath,Punjab Kings,8,245,28,7,66,3,0,0,183,6,2,133.87978142076503,40.833333333333336,S Badrinath,S Badrinath
S Badrinath,Rajasthan Royals,8,154,21,1,59,1,0,0,136,5,3,113.23529411764706,30.8,S Badrinath,S Badrinath
S Badrinath,Royal Challengers Bangalore,11,115,16,1,34,0,0,0,110,8,3,104.54545454545455,14.375,S Badrinath,S Badrinath
